timestamp,gsr_z,hr_bpm
0,0.2057,61.97
1000,0.151,63.08
2000,0.2289,57.78
3000,0.3035,63.55
4000,0.1179,67.1
5000,0.2626,63.26
6000,0.2621,61.85
7000,0.3272,67.34
8000,0.5494,63.64
9000,0.5681,58.62
10000,0.6149,62.62
11000,0.7473,64.95
12000,0.8497,60.51
13000,0.8903,62.15
14000,1.1674,65.5
15000,1.241,65.67
16000,1.3934,62.9
17000,1.1818,68.67
18000,1.1017,66.99
19000,1.3593,61.52
20000,1.4353,60.31
21000,1.4043,63.67
22000,1.3823,60.81
23000,1.2573,53.99
24000,1.4011,56.17
25000,1.4041,62.25
26000,1.4021,60.53
27000,1.4268,60.27
28000,1.3521,64.88
29000,1.4384,62.03
