timestamp,gsr_z,hr_bpm
0,3.729,82.33
1000,3.7518,79.62
2000,3.1781,76.4
3000,2.748,77.45
4000,3.5014,84.37
5000,2.7421,79.04
6000,3.4022,73.79
7000,3.7447,81.69
8000,4.1736,84.28
9000,4.4866,79.45
10000,4.1092,78.12
11000,4.0907,79.68
12000,3.8785,69.1
13000,3.2181,66.71
14000,3.7842,67.01
15000,3.9153,74.05
16000,3.6824,73.57
17000,3.7906,79.16
18000,4.4972,83.67
19000,4.5043,79.86
20000,4.5259,84.45
21000,4.496,89.76
22000,4.4938,80.86
23000,4.5014,90.35
24000,4.4828,86.57
25000,4.4898,81.37
26000,4.4873,81.3
27000,4.5053,78.94
28000,4.5028,73.43
29000,4.4896,73.82
