timestamp,gsr_z,hr_bpm
0,0.7144,71.36
1000,1.1422,74.66
2000,1.3151,72.03
3000,1.767,75.05
4000,2.1428,74.54
5000,2.1501,68.74
6000,2.0863,66.96
7000,2.3036,70.64
8000,2.3335,71.24
9000,2.304,69.17
10000,2.312,61.1
11000,2.3224,58.79
12000,2.3122,58.97
13000,2.261,60.82
14000,2.3355,62.71
15000,2.3377,60.89
16000,2.3338,58.55
17000,2.3805,60.73
18000,2.3229,69.08
19000,2.3055,73.89
20000,2.3368,73.82
21000,2.2751,75.69
22000,2.3276,71.36
23000,2.2713,66.74
24000,2.2862,63.68
25000,2.2718,59.55
26000,2.3027,60.62
27000,2.3201,64.65
28000,2.2763,63.55
29000,2.3529,59.71
