timestamp,gsr_z,hr_bpm
0,4.8829,80.19
1000,4.1877,87.18
2000,4.2265,92.79
3000,3.7605,91.18
4000,3.7525,80.85
5000,4.4253,88.02
6000,4.7566,98.71
7000,4.6568,93.21
8000,5.186,85.66
9000,5.0337,91.49
10000,4.3341,102.61
11000,4.7385,106.24
12000,4.8588,106.9
13000,5.4058,96.59
14000,4.9229,93.22
15000,6.6265,96.61
16000,6.5569,97.08
17000,6.3884,92.25
18000,7.0441,98.24
19000,7.2102,98.37
20000,7.8197,95.0
21000,7.8422,97.19
22000,7.8233,100.22
23000,7.7861,99.41
24000,7.8428,98.89
25000,7.773,92.52
26000,7.8278,98.07
27000,7.7938,94.74
28000,7.7781,98.82
29000,7.8354,95.56
